,drug
532,db01544
533,db01558
534,db01559
535,db01567
536,db01576
537,db01577
538,db01583
539,db01586
540,db01587
541,db01588
542,db01589
543,db01591
544,db01592
545,db01593
546,db01594
547,db01595
548,db01614
549,db01621
550,db01622
551,db01623
552,db01624
553,db01628
554,db01645
555,db01685
556,db01708
557,db01752
558,db01812
559,db01863
560,db01873
561,db01942
562,db01956
563,db01972
564,db01992
565,db02010
566,db02052
567,db02266
568,db02325
569,db02342
570,db02379
571,db02451
572,db02482
573,db02494
574,db02659
575,db02701
576,db02709
577,db02746
578,db02901
579,db03010
580,db03017
581,db03088
582,db03127
583,db03128
584,db03147
585,db03247
586,db03366
587,db03435
588,db03461
589,db03467
590,db03496
591,db03619
592,db03721
593,db03756
594,db03783
595,db03793
596,db03796
597,db03814
598,db04137
599,db04141
600,db04147
601,db04216
602,db04224
603,db04272
604,db04315
605,db04348
606,db04395
607,db04444
608,db04447
609,db04464
610,db04468
611,db04522
612,db04530
613,db04540
614,db04552
615,db04557
616,db04574
617,db04630
618,db04725
619,db04786
620,db04799
621,db04821
622,db04841
623,db04846
624,db04855
625,db04868
626,db04871
627,db04896
628,db04920
629,db04938
630,db04946
631,db04948
632,db04957
633,db05015
634,db05087
635,db05147
636,db05219
637,db05239
638,db05260
639,db05271
640,db05294
641,db05381
642,db05492
643,db05521
644,db05541
645,db05676
646,db05740
647,db05812
648,db05928
649,db06016
650,db06042
651,db06080
652,db06144
653,db06148
654,db06151
655,db06153
656,db06176
657,db06195
658,db06201
659,db06204
660,db06207
661,db06209
662,db06210
663,db06216
664,db06218
665,db06228
666,db06229
667,db06230
668,db06245
669,db06246
670,db06262
671,db06287
672,db06335
673,db06403
674,db06412
675,db06413
676,db06423
677,db06486
678,db06510
679,db06579
680,db06589
681,db06595
682,db06603
683,db06605
684,db06616
685,db06626
686,db06637
687,db06654
688,db06678
689,db06694
690,db06695
691,db06702
692,db06710
693,db06712
694,db06732
695,db06738
696,db06741
697,db06757
698,db06772
699,db06774
700,db06777
701,db07080
702,db07401
703,db07720
704,db07763
705,db07778
706,db07780
707,db07841
708,db07954
709,db08231
710,db08330
711,db08453
712,db08690
713,db08807
714,db08815
715,db08820
716,db08837
717,db08838
718,db08839
719,db08846
720,db08860
721,db08862
722,db08864
723,db08865
724,db08867
725,db08868
726,db08875
727,db08881
728,db08893
729,db08895
730,db08896
731,db08897
732,db08899
733,db08901
734,db08910
735,db08912
736,db08918
737,db08922
738,db08931
739,db09053
740,db09061
741,db09068
742,db09074
743,db09076
744,db09078
745,db09079
746,db09089
747,db09092
748,db09099
749,db09118
750,db09128
751,db09130
752,db09166
753,db09167
754,db09194
755,db09195
756,db09198
757,db09202
758,db09204
759,db09205
760,db09213
761,db09221
762,db09225
763,db09229
764,db09231
765,db09232
766,db09236
767,db09238
768,db09256
769,db09262
770,db09270
771,db09272
772,db09280
773,db09283
774,db09286
775,db09288
776,db09301
777,db09304
778,db09327
779,db09332
780,db09409
781,db09462
782,db09481
783,db11093
784,db11124
785,db11130
786,db11148
787,db11181
788,db11235
789,db11273
790,db11278
791,db11300
792,db11348
793,db11362
794,db11572
795,db11577
796,db11582
797,db11590
798,db11605
799,db11614
800,db11619
801,db11633
802,db11635
803,db11638
804,db11641
805,db11642
806,db11672
807,db11691
808,db11755
809,db11817
810,db11823
811,db11828
812,db11855
813,db11859
814,db11901
815,db11963
816,db11967
817,db11979
818,db11994
819,db11995
820,db12001
821,db12010
822,db12130
823,db12141
824,db12161
825,db12267
826,db12278
827,db12307
828,db12332
829,db12483
830,db12598
831,db12695
832,db12742
833,db12831
834,db12965
835,db13025
836,db13146
837,db13151
838,db13174
839,db13179
840,db13269
841,db13345
842,db13746
843,db13751
844,db13919
845,db13928
846,db13943
847,db13944
848,db13946
849,db13951
850,db13952
851,db13953
852,db13954
853,db13955
854,db13956
855,db13961
856,db13983
857,db13999
858,db14001
859,db14002
860,db14006
861,db14011
862,db14185
863,db14481
864,db14487
865,db14488
866,db14489
867,db14490
868,db14491
869,db14501
870,db14533
871,db14538
872,db14539
873,db14540
874,db14541
875,db14542
876,db14543
877,db14544
878,db14635
879,db00220
880,db00238
881,db00456
882,db00495
883,db00567
884,db00625
885,db00627
886,db00709
887,db00759
888,db00943
889,db01072
890,db01232
891,db06290
892,db06755
893,db08496
894,db08828
895,db08907
896,db08930
897,db09479
898,db11575
899,db11586
900,db11753
901,db11827
902,db11943
903,db11978
904,db00041
905,db00082
906,db00121
907,db00150
908,db00158
909,db00173
910,db00188
911,db00224
912,db00250
913,db00365
914,db00428
915,db00446
916,db00520
917,db00526
918,db00582
919,db00701
920,db00705
921,db00718
922,db00738
923,db00857
924,db00932
925,db00958
926,db00973
927,db00980
928,db01008
929,db01058
930,db01201
931,db01285
932,db01333
933,db01424
934,db01601
935,db01609
936,db01914
937,db02703
938,db04953
939,db05109
940,db05804
941,db06292
942,db06697
943,db06739
944,db06770
945,db06778
946,db08934
947,db09054
948,db09065
949,db09102
950,db09183
951,db09297
952,db09341
953,db09502
954,db09568
955,db09570
956,db11251
957,db11431
958,db11613
959,db12026
960,db12070
961,db12245
962,db13257
963,db13749
964,db13874
965,db13878
966,db13879
967,db14003
968,db14545
969,db14568
970,db00123
971,db00148
972,db00152
973,db00174
974,db00300
975,db00331
976,db00345
977,db00577
978,db00787
979,db01004
980,db01051
981,db02527
982,db04398
983,db08889
