,protein
1213,9606.ensp00000337949
1214,9606.ensp00000376432
1215,9606.ensp00000349252
1216,9606.ensp00000430432
1217,9606.ensp00000262888
1218,9606.ensp00000371985
1219,9606.ensp00000421326
1220,9606.ensp00000215375
1221,9606.ensp00000412673
1222,9606.ensp00000386029
1223,9606.ensp00000481321
1224,9606.ensp00000300738
1225,9606.ensp00000354532
1226,9606.ensp00000266376
1227,9606.ensp00000288139
1228,9606.ensp00000365441
1229,9606.ensp00000355192
1230,9606.ensp00000377840
1231,9606.ensp00000320025
1232,9606.ensp00000301050
1233,9606.ensp00000438949
1234,9606.ensp00000430684
1235,9606.ensp00000225275
1236,9606.ensp00000377353
1237,9606.ensp00000306129
1238,9606.ensp00000437737
1239,9606.ensp00000373169
1240,9606.ensp00000176183
1241,9606.ensp00000347754
1242,9606.ensp00000289753
1243,9606.ensp00000399745
1244,9606.ensp00000409378
1245,9606.ensp00000372750
1246,9606.ensp00000410257
1247,9606.ensp00000303540
1248,9606.ensp00000283254
1249,9606.ensp00000405330
1250,9606.ensp00000343925
1251,9606.ensp00000399968
1252,9606.ensp00000363822
1253,9606.ensp00000369816
1254,9606.ensp00000349320
1255,9606.ensp00000334198
1256,9606.ensp00000418081
1257,9606.ensp00000285379
1258,9606.ensp00000300900
1259,9606.ensp00000430656
1260,9606.ensp00000285381
1261,9606.ensp00000419422
1262,9606.ensp00000355759
1263,9606.ensp00000264637
1264,9606.ensp00000379904
1265,9606.ensp00000394936
1266,9606.ensp00000390600
1267,9606.ensp00000386306
1268,9606.ensp00000275493
1269,9606.ensp00000396320
1270,9606.ensp00000259396
1271,9606.ensp00000325120
1272,9606.ensp00000226021
1273,9606.ensp00000345708
1274,9606.ensp00000345659
1275,9606.ensp00000364586
1276,9606.ensp00000243167
1277,9606.ensp00000366506
1278,9606.ensp00000256906
1279,9606.ensp00000277010
1280,9606.ensp00000383364
1281,9606.ensp00000332812
1282,9606.ensp00000242057
1283,9606.ensp00000352011
1284,9606.ensp00000286628
1285,9606.ensp00000251595
1286,9606.ensp00000264498
1287,9606.ensp00000306361
1288,9606.ensp00000274192
1289,9606.ensp00000360423
1290,9606.ensp00000353362
1291,9606.ensp00000385019
1292,9606.ensp00000445306
1293,9606.ensp00000350815
1294,9606.ensp00000231509
1295,9606.ensp00000261937
1296,9606.ensp00000251849
1297,9606.ensp00000263923
1298,9606.ensp00000288602
1299,9606.ensp00000241453
1300,9606.ensp00000261799
1301,9606.ensp00000288135
1302,9606.ensp00000347942
1303,9606.ensp00000282397
1304,9606.ensp00000365686
1305,9606.ensp00000417085
1306,9606.ensp00000369375
1307,9606.ensp00000325822
1308,9606.ensp00000477587
